index,title,institute,tag,description,
231,การออกแบบและสร้างสื่อ Interactive เพื่อการเรียนการสอนบน Smartphone,มหาวิทยาลัยราชภัฏสงขลา,['การศึกษาและการฝึกอบรม'],เดิมทีสื่อการเรียนการสอนนั้น สามารถทำงานได้บนคอมพิวเตอร์ ไม่ว่าจะเป็นแบบออนไลน์หรือออฟไลน์ แต่เมื่อSmartphoneได้รับความนิยมกันอย่างแพร่หลายแทนคอมพิวเตอร์การพัฒนาสื่อการเรียนการสอนเพื่อให้สามารถเรียกใช้งานบนSmartphoneได้นั้นสามารถตอบโจทย์ที่ทำให้ผู้เรียนเข้าถึงเนื้อหาได้สะดวกทุกที่ทุกที่ทุกเวลาอย่างแท้จริง นอกจากนี้ผู้พัฒนาสื่อการเรียนการสอนบนSmartphone จึงจำเป็นต้องรู้ถึงการปฏิสัมพันธ์ระหว่างผู้ใช้ที่แตกต่างจากคอมพิวเตอร์อีกด้วย,
232,การเล่าเรื่องในสื่อดิจิทัลอย่างรู้เท่าทัน (สำหรับคนหูหนวก) | Digital Storytelling with Literacy (for the Deaf),มหาวิทยาลัยรังสิต,['ทักษะชีวิตและการพัฒนาตนเอง'],"รายวิชานี้ได้รับทุนสนับสนุนจากกองทุนพัฒนาเทคโนโลยีการศึกษา กระทรวงศึกษาธิการ, ศึกษาและเรียนรู้หลักสำคัญของเทคนิคการเขียนบทในรูปแบบต่าง ๆ และการเล่าเรื่องในสื่อดิจิทัล โดยมีวัตถุประสงค์เพื่อการเรียนรู้เกี่ยวกับความสำคัญของการเล่าเรื่อง การวิเคราะห์ผู้ชม เข้าใจองค์ประกอบของการเล่าเรื่อง การสืบค้นข้อมูลเพื่อการเล่าเรื่อง และรู้จักวิธีการพัฒนาเรื่องเล่าในสื่อดิจิทัลและวิธีการใช้สื่อออนไลน์เพื่อการเล่าเรื่องได้อย่างเหมาะสม",
233,การจัดการสาธารณภัย...ใครๆ ก็ต้องรู้ | Emergency Care in Mass Casualty Incident,มหาวิทยาลัยมหิดล,['ธุรกิจและการบริหารจัดการ'],,
234,นวัตกรรมและเทคโนโลยีสารสนเทศเพื่อการเรียนรู้,มหาวิทยาลัยขอนแก่น,['คอมพิวเตอร์และเทคโนโลยี'],แนวคิด ทฤษฎี เทคโนโลยีและนวัตกรรมการศึกษา เทคโนโลยีสารสนเทศเพื่อพัฒนาการเรียนรู้ การวิเคราะห์ปัญหาการใช้เทคโนโลยีและนวัตกรรมการศึกษา เทคโนโลยีสารสนเทศ สื่อพื้นฐาน แหล่งการเรียนรู้และเครือข่ายการเรียนรู้การออกแบบ การสร้าง การนำไปใช้ และการประเมิน สื่อและนวัตกรรมการเรียนรู้,
235,การใช้ Google App for Education สำหรับการจัดการห้องเรียน | Google App for Education in Classroom,มหาวิทยาลัยราชภัฏเชียงราย,['คอมพิวเตอร์และเทคโนโลยี'],ศึกษาความรู้พื้นฐานการออกแบบการเรียนการสอนโดยใช้เทคโนโลยีเป็นฐาน การออกแบบการเรียนการสอนในยุคดิจิทัล มีความรู้ความเข้าใจเกี่ยวกับการใช้ชุดเครื่องมือ Google App for Education ในการจัดการเรียนการสอน มีทักษะในการสร้างเอกสาร ฟอร์ม เว็บไซต์ และ Google Classroom สามารถประยุกต์ใช้งานในการเรียนการสอน สามารถแก้ปัญหาทางการศึกษาได้อย่างมีประสิทธิภาพและประสิทธิผล,
236,ทักษะงานช่างพื้นฐาน | Basic Engineering Skill,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,['วิศวกรรมและสถาปัตยกรรม'],ความรู้เบื้องต้นเกี่ยวกับทักษะงานช่างพื้นฐาน ความปลอดภัยเบื้องต้นในการปฏิบัติงาน การสร้างนิสัยอุตสาหกรรมในการปฏิบัติงาน วัสดุช่างอุตสาหกรรม งานเขียนแบบเทคนิค รวมทั้งความรู้พื้นฐานในงานช่างเฉพาะทางเบื้องต้น เช่น ช่างไฟฟ้า ช่างเมคคาทรอนิกส์ ช่างระบบสื่อสารใยแก้วนำแสง และช่างอิเล็กทรอนิกส์ เป็นต้น,
237,ครบเครื่องเรื่องลงทุน ตอน อยากลงทุน ต้องรู้จักผลตอบแทนและความเสี่ยง,ตลาดหลักทรัพย์แห่งประเทศไทย,"['ธุรกิจและการบริหารจัดการ', 'ทักษะชีวิตและการพัฒนาตนเอง']",เรียนรู้ความสำคัญของการลงทุนเพื่อบรรลุเป้าหมายในชีวิต ความสัมพันธ์ของผลตอบแทนและความเสี่ยงจากการลงทุน เพื่อวางแผนลงทุนได้อย่างเหมาะสม,
238,การรู้เท่าทันสื่อ | Media Literacy,มหาวิทยาลัยเชียงใหม่,['ภาษาและการสื่อสาร'],ความหมาย ความสำคัญ และองค์ประกอบของการรู้เท่าทันสื่อ แนวคิดและทฤษฎีที่เกี่ยวข้อง ความหมายของสารที่ปรากฏในสื่อ หลักการวิเคราะห์และการประเมินคุณค่าสาร การเลือกรับสาร การประยุกต์ใช้ความรู้เท่าทันสื่อในชีวิตประจำวัน ผลกระทบของสื่อต่อปัจเจกบุคคลและสังคม การสร้างและส่งเสริมสังคมรู้เท่าทันสื่อ,
239,หลักการบัญชี | Principles of Accounting,มหาวิทยาลัยหอการค้าไทย,['ธุรกิจและการบริหารจัดการ'],ความรู้ทั่วไปเกี่ยวกับการบัญชี หลักการบัญชีคู่ หลักการและวิธีการบันทึกบัญชีในสมุดรายวันทั่วไป การผ่านรายการไปยังสมุดบัญชีแยกประเภททั่วไปและการจัดทำงบทดลอง ของกิจการเจ้าของคนเดียวที่ประกอบธุรกิจให้บริการ,
240,ระบบสารสนเทศกับการจัดการความรู้ในยุคดิจิทัล | Information System and Knowledge Management in the Digital Age,มหาวิทยาลัยสุโขทัยธรรมาธิราช,['การศึกษาและการฝึกอบรม'],,
241,การจัดการบริการสุขภาพปฐมภูมิ หัวข้อ การบริหารงานสาธารณสุขในภาวะฉุกเฉิน | Primary Health Care Management,มหาวิทยาลัยราชพฤกษ์,['สุขภาพและการแพทย์'],"1.คำอธิบายรายวิชา
หลักการ แนวคิด และพัฒนาการของบริการสุขภาพปฐมภูมิ คุณลักษณะของบริการสุขภาพปฐมภูมิ กระบวนการและกิจกรรมการให้บริการสุขภาพปฐมภูมิ การควบคุมคุณภาพบริการสุขภาพปฐมภูมิ และการประเมินผล ทั้งนี้ในให้ข้อกระบวนการและกิจการให้บริการสุขภาพปฐมภูมิ จะกล่าวถึงการให้ดูแลผู้ป่วยทั้งในภาวะปกติและภาวะฉุกเฉิน
2.อาจารย์ผู้สอน
2.1 ผู้ช่วยศาสตราจารย์ ดร.เสกสรรค์ มานวิโรจน์ (ปร.ด,วท.ม.รป.ม.,สบ.)
คณบดีคณะวิทยาศาสตร์สาธารณสุขและหัวหน้าสาขาวิชาสาธารณสุขศาสตร์ มหาวิทยาลัยราชพฤกษ์
2.2 ผู้ช่วยศาสตราจารย์ พญ.รพีพร โรจน์แสงเรือง
อาจารย์ประจำโรงพยาบาลจุฬาภรณ์",
242,หลักสูตรการประยุกต์และพัฒนาเว็บไซต์ด้วย Google Sites | Apply and Website Development Course with Google Sites,มหาวิทยาลัยราชภัฏภูเก็ต,['คอมพิวเตอร์และเทคโนโลยี'],,
243,การจัดการเรียนรู้เสริมภาษาอังกฤษด้วยเกมออนไลน์ | Online Games Enhanced English Language Learning,มหาวิทยาลัยนเรศวร,['ภาษาและการสื่อสาร'],จำแนก แยกแยะ เกมออนไลน์เพื่อใช้เป็นสื่อการสอน ความรู้เบื้องต้นทางด้านการใช้เกมออนไลน์ในสนับสนุนการเรียนรู้ภาษาอังกฤษ กระบวนการประยุกต์เกมออนไลน์เพื่อสนับสนุนการเรียนรู้ภาษาอังกฤษ การใช้เกมออนไลน์ในการเพิ่มความสามารถทางภาษาอังกฤษ และ การวิเคราะห์เพื่อเลือกเกมออนไลน์ไปใช้เพื่อสนับสนุนการเรียนภาษาอังกฤษ,
244,การวิเคราะห์เชิงลึกอภิมหาข้อมูล | Big Data Analysis,มหาวิทยาลัยรังสิต,['คอมพิวเตอร์และเทคโนโลยี'],การวิเคราะห์เชิงลึกอภิมหาข้อมูล เป็น กระบวนการวิเคราะห์อภิมหาข้อมูลเพื่อค้นหาพฤติกรรมของบุคคล ในรูปแบบความสัมพันธ์ของข้อมูลเหล่านั้นที่ซ่อนอยู่ข้างใน หาสิ่งเชื่อมโยงที่เชื่อมข้อมูลเหล่านั้นเข้าไว้ด้วยกัน หารูปแบบทางการตลาด เช่น หาความต้องการ ความชอบ ตลอดจน วิถีชีวิต ของลูกค้า และข้อมูลอื่นๆที่เป็นประโยชน์ต่อธุรกิจ ผลการวิเคราะห์ข้อมูลนี้สามารถนำไปสู่การทำแผนการตลาดที่มีประสิทธิภาพ โอกาสในการสร้างผลกำไร การให้บริการที่ดีมากขึ้นแก่ลูกค้า การปรับปรุงการทำงานให้เกิดประสิทธิภาพ ความได้เปรียบเหนือคู่แข่งในการแข่งขันทางการตลาด และผลประโยชน์ทางธุรกิจด้านอื่นๆ,
245,วางแผนลงทุนสม่ำเสมอด้วยหุ้นและกองทุน,ตลาดหลักทรัพย์แห่งประเทศไทย,"['ธุรกิจและการบริหารจัดการ', 'ทักษะชีวิตและการพัฒนาตนเอง']",เรียนรู้เทคนิคลงทุนสม่ำเสมอแบบ DCA ในหุ้นดี กองทุนเด่น เพื่อสร้างอิสรภาพทางการเงินในระยะยาว,
246,ภาษาอังกฤษสำหรับเทคโนโลยีสารสนเทศ | English for information technology,มหาวิทยาลัยขอนแก่น,['ภาษาและการสื่อสาร'],การพัฒนาทักษะภาษาอังกฤษเพื่อการสื่อสารสำหรับวิชาชีพ การใช้ภาษาอังกฤษสำหรับการสนทนาและการเขียนที่เกี่ยวข้องในสถานการณ์การปฏิบัติงานในวิชาชีพ การเข้าใจประเด็นและจับประเด็นและใจความสำคัญจากการฟังและการอ่านสิ่งพิมพ์และออนไลน์ต่างๆ และความเข้าใจคำศัพท์และเนื้อหาทางวิชาการในวิชาชีพ,
247,การออกแบบการนำเสนองานอย่างสร้างสรรค์และทันสมัย | Creative and Modern Presentation Design,มหาวิทยาลัยสงขลานครินทร์,['คอมพิวเตอร์และเทคโนโลยี'],"ด้วยการประยุกต์โปรแกรมพื้นฐานอย่าง Microsoft PowerPoint นำไปสู่การออกแบบผลงานเพื่อนำเสนอในระดับสูง เพื่อเกิดความทันสมัยและสร้างสรรค์ กลายเป็นผลงานมีมีความโดดเด่นและน่าสนใจ เพื่อให้ผู้เรียนสามารถนำความรู้ไปประยุกต์ให้เกิดประสิทธิภาพสูงสุดในการสร้างสรรค์ผลงานอื่นๆ อีกมากมายเช่น การทำ Flowchart Animation, Infographic เป็นต้น",
248,รู้ทันภัยทางการเงิน ตั้งสติไว้ไม่โดนหลอก,ตลาดหลักทรัพย์แห่งประเทศไทย,"['ธุรกิจและการบริหารจัดการ', 'ทักษะชีวิตและการพัฒนาตนเอง']",เรียนรู้ภัยทางการเงินหรือกลโกงที่มิจฉาชีพใช้หลอกประชาชนในปัจจุบัน รวมถึงวิธีระมัดระวังและป้องกันการถูกหลอกจากมิจฉาชีพ,
249,กระบวนการการผลิตเห็ดและพืชผักตามแนวทางเกษตรปลอดภัย (Mushroom and vegetable production via Good Agricultural Practice (GAP)),มหาวิทยาลัยแม่โจ้,['เกษตรและสิ่งแวดล้อม'],กระบวนการการผลิตเห็ดและพืชผักตามแนวทางเกษตรปลอดภัย เป็นรายวิชาที่รวมเอาองค์ความรู้เกี่ยวกับกระบวนการต่าง ๆ ที่เกี่ยวข้องกับการผลิตเห็ดและผักตามหลักการเกษตรปลอดภัย เพื่อผลักดันเข้าสู่การเป็นเกษตรอินทรีย์,
250,หลักและวิธีการส่งเสริมการเกษตร | Principles of Agricultural Extension,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,['เกษตรและสิ่งแวดล้อม'],วิชานี้เรียนเกี่ยวกับแนวความคิดและทฤษฎีการส่งเสริมการเกษตร นโยบายการส่งเสริมการเกษตร วิธีการส่งเสริมการเกษตร บทบาท และคุณสมบัติของเจ้าหน้าที่ส่งเสริมการเกษตร การติดต่่อสื่อสารในงานส่่งเสริมการเกษตร สื่อและ ระบบสารสนเทศ ในงานส่งเสริมการเกษตร การวางแผนและประเมินผลในโครงการส่งเสริมการเกษตร,
251,ทบทวนความรู้ ไมโครซอฟท์ เอ็กซ์เซลล์ เพื่อการทดสอบโดย Microsoft Office Specialist (MOS) Certificate | Microsoft Office Specialist (MOS) Certificate for Microsoft Excel (Tutorial),บริษัท ไมโครซอฟท์ (ประเทศไทย) จำกัด,['คอมพิวเตอร์และเทคโนโลยี'],,
252,การออกแบบและผลิตรายวิชา MOOC | Overview of Creating an edX Course,โครงการมหาวิทยาลัยไซเบอร์ไทย,['การศึกษาและการฝึกอบรม'],"การออกแบบและผลิตรายวิชา MOOC (edX101-Thai)
ท่านจะได้เรียนรู้หลักการของการออกแบบและผลิตรายวิชา MOOC ในระบบ Thai MOOC",
253,สื่อสารด้วยภาษากัมพูชาง่ายนิดเดียว | Communicate with Cambodia language very easy,วิทยาลัยชุมชนสระแก้ว,['ภาษาและการสื่อสาร'],ฝึกทักษะการสนทนา ด้านการฟัง พูด ภาษาเขมร เกี่ยวกับการสนทนาทักทาย สนทนาทั่วไป จำนวนนับ สิ่งของเครื่องใช้ สนทนาด้านการค้า การสนทนาด้านสุขภาพ เพื่อนำไปสู่การปฏิบัติและสามารถนำสู่การประกอบอาชีพ เสริมสร้างเศรษฐกิจในชุมชน,
254,อนามัยสิ่งแวดล้อมพื้นฐาน | Introduction to Environmental Health,มหาวิทยาลัยวลัยลักษณ์,['สุขภาพและการแพทย์'],,
255,กลยุทธ์การตลาดเชิงเนื้อหาในสื่อสังคมเพื่อการจัดการแบรนด์ออนไลน์ | Social Media Content Marketing Strategy for Online Brand Management,สถาบันบัณฑิตพัฒนบริหารศาสตร์,['ธุรกิจและการบริหารจัดการ'],,
256,คนสร้างอาชีพ | Career Development,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,['ทักษะชีวิตและการพัฒนาตนเอง'],สื่อการเรียนรู้ MOOC ชุมชน ด้านส่งเสริมอาชีพ,
257,"การตรวจสอบและบำรุงรักษาสมอเรือ | Watch out, the anchor!",มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,['ภาษาและการสื่อสาร'],"This subject aim to teach students to use imperative sentences to give warnings on board, give instructions to prevent anchor damage, and instructions to prolong the anchor lifespan.

วิชานี้มีวัตถุประสงค์ให้ผู้เรียน ใช้ประโยคที่ใช้ในการให้คำแนะนำ หรือแสดงการออกคำสั่ง การเตือน ที่จำเป็นบนเรือ ให้คำแนะนำเพื่อป้องกันความเสียหายของสมอเรือ และให้คำแนะนำในการยืดอายุการใช้งานสมอเรือ",
258,การเตรียมพร้อมเข้าสู่วัยผู้สูงอายุ | Preparing for Aging,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,['ทักษะชีวิตและการพัฒนาตนเอง'],ความรู้เบื้องต้นเกี่ยวกับการเตรียมความพร้อมเข้าสู่วัยสูงอายุ ได้แก่ การเตรียมตัวทางด้านร่างกาย การเตรียมตัวทางด้านจิตใจ และการเตรียมตัวทางด้านสังคม รวมทั้งการดูแลตนเองของผู้สูงอายุ,
259,ไพธอนพื้นฐานสำหรับผู้เริ่มต้น | Python for beginners,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,"['คณิตศาสตร์และวิทยาศาสตร์', 'คอมพิวเตอร์และเทคโนโลยี']",,
260,การจัดการคลังสินค้า | Warehouse Management,มหาวิทยาลัยรามคำแหง,['ธุรกิจและการบริหารจัดการ'],“ปั้นทักษะ อัดความรู้ หนุนเทคโนโลยี”,
261,การออกแบบและผลิตสื่อมัลติมีเดียการศึกษา,มหาวิทยาลัยขอนแก่น,['การศึกษาและการฝึกอบรม'],"ทฤษฎี ในการออกแบบการเรียนรู้แบบมัลติมีเดีย ขั้นตอนการออกแบบและการพัฒนา การประเมินประสิทธิภาพและการนำไปใช้งาน รวมถึงการบูรณาการในการนำไปใช้ในการจัดการเรียนรู้ตามสภาพจริง
Theory of multimedia learning design, process of design and development, effectiveness and implementation including the integration of authentic learning.",
262,การพัฒนาบุคลิกภาพเพื่อเพิ่มประสิทธิภาพการทำงานของ บุคลากรภาครัฐ,มหาวิทยาลัยเชียงใหม่,['การศึกษาและการฝึกอบรม'],,
263,การตลาดดิจิทัลสำหรับผู้ประกอบการธุรกิจชุมชน | Digital Marketing for Community Business Entrepreneur,มหาวิทยาลัยราชภัฏสุราษฎร์ธานี,['คอมพิวเตอร์และเทคโนโลยี'],,
264,พื้นฐาน Internet of Things (IoTs) | Basic Internet of Things (IoTs),มหาวิทยาลัยหาดใหญ่,['คอมพิวเตอร์และเทคโนโลยี'],"Internet of Things เทคโนโลยีใหม่ที่กำลังมาแรง ท่านจะได้เรียนรู้ถึง ความรู้พื้นฐานในเรื่อง องค์ประกอบด้าน Hardware และ Software การต่อวงจรอิเล็กทรอนิกส์เบื้องต้นบน Breadboard Digital Input/output, Analog Input, Library Implementation เซ็นเซอร์ การแลกเปลี่ยนข้อมูลระหว่างระบบปฏิบัติการแบบต่างๆ และเทคโนโลยีที่ช่วยให้สรรพสิ่งประมวลผลข้อมูลของตนเองได้ การพัฒนาโปรแกรมประยุกต์เบื้องต้น",
265,การใช้เทคโนโลยีดิจิทัลเพื่อการติดต่อสื่อสารและการสร้างสรรค์งานสำหรับผู้ดูแลผู้สูงอายุ | Using digital technology for communication and creative work for elderly caregivers,มหาวิทยาลัยสุโขทัยธรรมาธิราช,['ทักษะชีวิตและการพัฒนาตนเอง'],,
266,การพัฒนาระบบเตือนภัยอิเล็กทรอนิกส์ | Electronic Security Development,มหาวิทยาลัยราชภัฏเชียงราย,['คอมพิวเตอร์และเทคโนโลยี'],ศึกษาและปฏิบัติงานเกี่ยวกับ ระบบความปลอดภัยในงานไฟฟ้าอิเล็กทรอนิกส์ แหล่งกำเนิดไฟฟ้า กฏของโอห์ม พลังงานไฟฟ้า วงจรไฟฟ้าเบื้องต้น วงจรไฟฟ้าแสงสว่าง การควบคุมมอเตอร์เบื้องต้น อุปกรณ์ป้องกันไฟฟ้าและการต่อสายดิน อุปกรณ์อิเล็กทรอนิกส์ หม้อแปลงไฟฟ้า รีเลย์ ไมโครโฟน ลำโพง อุปกรณ์สารกึ่งตัวนำ เทคนิคการบัดกรี การใช้มัลติมิเตอร์ การประกอบวงจรอิเล็กทรอนิกส์เบื้องต้นบนแผ่นวงจรพิมพ์ ประกอบชุดคิท เกี่ยวกับเครื่องหรี่ไฟ แหล่งจ่ายไฟฟ้ากระแสตรงชนิดที่ปรับค่าได้ สวิตซ์ทำงานด้วยแสง สำหรับนำมาประยุกต์ใช้งานด้านการเตือนภัย,
267,การบริหารความเสี่ยงดิจิทัล | Digital Risk Management,สำนักงานพัฒนารัฐบาลดิจิทัล (องค์การมหาชน),['คอมพิวเตอร์และเทคโนโลยี'],การศึกษาแนวคิดการพัฒนาแผนงานเชิงกลยุทธ์เกี่ยวกับสถาปัตยกรรมองค์กร (Enterprise Architecture Strategic Roadmap) การวิเคราะห์ปัจจัยที่เกี่ยวข้องที่มีส่วนผลักดันหรืออุปสรรคในการเดินทางสู่เป้าหมายองค์กรการสร้างความสัมพันธ์ระหว่างองค์กรกับปัจจัยต่าง ๆ ที่เกื้อหนุน การจัดการความเปลี่ยนแปลงของสถาปัตยกรรมองค์กรและหลักการสื่อสารองค์กรเพื่อความสำเร็จตามแผนงาน และการจัดการสถาปัตยกรรมองค์กรตามหลักธรรมาภิบาล,
268,ศาสตร์เพื่อป้องกันอัตวินิบาตกรรม (การฆ่าตัวตาย) | The Sciences for Suicide Prevention,มหาวิทยาลัยเชียงใหม่,['สุขภาพและการแพทย์'],สถานการณ์ปัญหาการฆ่าตัวตาย ความหมายของการฆ่าตัวตาย เหตุปัจจัยที่เกี่ยวข้องกับพฤติกรรมการฆ่าตัวตาย ผลกระทบจากการฆ่าตัวตาย การประเมินความเสี่ยงในการฆ่าตัวตาย การป้องกันปัญหาและช่วยเหลือผู้มีปัญหาการฆ่าตัวตาย,
269,คณิตพิชิต O-NET (ระดับม.ต้น),มหาวิทยาลัยราชภัฏสวนสุนันทา,['การศึกษาและการฝึกอบรม'],,
270,การเรียนรู้ตามรอยพระยุคลบาท | Recognized his majesty's contributions to dedicate our effort and spirit to grow up Thailand,สำนักงานคณะกรรมการข้าราชการพลเรือน,['สังคม การเมืองการปกครอง'],,
271,"กลยุทธ์สู่ประชาคมอาเซียน: การเมือง เศรษฐกิจ และสังคม | ASEAN Strategies: Politics, Economics, and Society",มหาวิทยาลัยมหิดล,['สังคม การเมืองการปกครอง'],"ความรู้เบื้องต้นในการศึกษาระบบการเมือง ระบบเศรษฐกิจ และระบบสังคมของประเทศสมาชิกอาเซียนทั้ง 10 ประเทศ รวมทั้งศึกษาความแตกต่างในระบบการเมืองการปกครอง รูปแบบการพัฒนาทางเศรษฐกิจ รูปแบบการพัฒนาความร่วมมือทางเศรษฐกิจ ความสัมพันธ์ที่ดีทางสังคมและวัฒนธรรมระหว่างประชาชนอาเซียน และแนวโน้มในการพัฒนาความสัมพันธ์ของประเทศสมาชิกอาเซียนในทุกมิติภายใต้กรอบประชาคมอาเซียน

Fundamental Knowledge in studying political, economic and social systems in ten ASEAN member states; Study the differences in political system; Pattern of economic development; Developmental pattern in economic cooperation, close social and cultural relationships among ASEAN citizens; Political, economic and social diversity of ASEAN member states; Trend in developing relationships among ASEAN member states in all perspectives under ASEAN Community framework.",
272,เขียนแบบสถาปัตยกรรม | Architectural Drawing,มหาวิทยาลัยนเรศวร,['การศึกษาและการฝึกอบรม'],เรียนรู้การใช้เครื่องมือและอุปกรณ์ต่างๆ ในการเขียนแบบและร่างแบบสถาปัตยกรรมได้อย่างเหมาะสม ใช้โปรแกรมสำเร็จรูปสำหรับงานเขียนแบบ และโปรแกรมจัดการงานเอกสารพื้นฐานได้ รวมถึงอ่านสัญลักษณ์ในงานเขียนแบบสถาปัตยกรรม บอกมาตรฐานการเขียนแบบ การใช้มาตราส่วน การบอกขนาดมิติ,
273,ความรู้เบื้องต้นการวิเคราะห์ข้อมูลบนสื่อสังคมออนไลน์ | Introduction to Data Analytics on Social Media,มหาวิทยาลัยรังสิต,['การศึกษาและการฝึกอบรม'],,
274,วิทยาการข้อมูล | Data Science,มหาวิทยาลัยศรีนครินทรวิโรฒ,['คอมพิวเตอร์และเทคโนโลยี'],กระบวนการของวิทยาการข้อมูล ภาษาโปรแกรมและกรอบความคิดในการวิเคราะห์ข้อมูล การวิเคราะห์เพื่อวินิจฉัยข้อมูล การทำความสะอาดข้อมูล การใช้เครื่องมือในการวิเคราะห์ข้อมูลด้วยวิธีการทางสถิติและการเรียนรู้ของเครื่อง การสร้างมโนภาพของข้อมูล กรณีศึกษาและหัวข้อการประยุกต์ใช้งานจริงในภาคอุตสาหกรรมหรือภาคธุรกิจ,
275,"ธรรมชาติ สุขภาพ และพฤติกรรมมนุษย์ | Nature, Health, and Behaviors",มหาวิทยาลัยเชียงใหม่,['เกษตรและสิ่งแวดล้อม'],"รายวิชาธรรมชาติ สุขภาพ และพฤติกรรมมนุษย์ (Nature, Health, and Behaviors) ได้นำเอาข้อมูลทางจิตวิทยา จิตวิทยาสิ่งแวดล้อม และพฤติกรรมศาสตร์ ที่เชื่อมระหว่างธรรมชาติ สุขภาพ และพฤติกรรม มาสรุปและสร้างข้อแนะนำที่สามารถนำไปปฏิบัติได้จริง จึงมีความจำเป็นต่อประชาชนทั่วไป ในการนำสิ่งแวดล้อมใกล้ตัวมาพัฒนาสุขภาพกาย สุขภาพจิต และพฤติกรรม ตลอดจนการเปลี่ยนสิ่งแวดล้อมรอบตัวเพื่อให้เหมาะกับสุขภาพและพฤติกรรมที่ดีได้ เพื่อพัฒนาตนเองให้เป็นทรัพยากรมนุษย์ที่มีคุณค่าต่อตนเอง คนรอบตัว และสังคมต่อไป",
276,เส้นสายใยรัก ผ้าทอหันทราย | Hun Sai’s Hand-woven Fabric,วิทยาลัยชุมชนสระแก้ว,['ศิลปวัฒนธรรมและศาสนา'],ฝึกทักษะการออกแบบลายผ้าหันทราย ขั้นตอนการทำเส้นยืนและเส้นพุ่ง ขั้นตอนการทอผ้าหันทราย การเก็บรักษาผ้าทอหันทราย เพื่อนำไปสู่การปฏิบัติงานและประกอบอาชีพ เสริมสร้างเศรษฐกิจในชุมชน,
277,วิศวกรรมน้ำและบำบัดน้ำเสีย: เทคโนโลยีชีวเคมี | Water and Wastewater Treatment Engineering: Biochemical Technology | 水处理工程：生物化学方法,XuetangX,['วิศวกรรมและสถาปัตยกรรม'],เทคโนโลยีชีวเคมีในวิศวกรรมน้ำและบำบัดน้ำเสียเป็นสิ่งจำเป็นในด้านการบำบัดน้ำ ในหลักสูตรการศึกษาด้านสิ่งแวดล้อมนี้ คุณจะได้เรียนรู้หลักการพื้นฐานและคุณลักษณะของเทคโนโลยีชีวเคมี ความรู้นี้จำเป็นสำหรับผู้ที่อยู่ในแวดวงสิ่งแวดล้อม ในหลักสูตรนี้เราจะใช้กรณีในโลกแห่งความเป็นจริงและคำอธิบายที่ชัดเจนเพื่อช่วยให้คุณเข้าใจกระบวนการบำบัดทางชีวภาพได้ดียิ่งขึ้น,
278,ความคิดสร้างสรรค์และนวัตกรรม | Creative Thinking and Innovations,มหาวิทยาลัยวลัยลักษณ์,['ทักษะชีวิตและการพัฒนาตนเอง'],"1: ความคิดสร้างสรรค์คืออะไร สัมพันธ์กับนวัตกรรมอย่างไร
2: ความคิดสร้างสรรค์ มาจากไหน, SCAMPER ที่มาของความคิดสร้างสรรค์
3: องค์ประกอบและประเภทของความคิดสร้างสรรค์
4: สมองซีกซ้ายและซีกขวากับความคิดสร้างสรรค์
5: การพัฒนาความคิดสร้างสรรค์ทำได้อย่างไร
6: ทฤษฎีหมวก 6 ใบของ Edward de Bono
7: การประยุกต์ใช้ ทฤษฎีหมวก 6 ใบ
8: การระดมสมอง
9: Mind maps
10: ปัจจัยที่ส่งผลต่อความคิดสร้างสรรค์
11: จากความคิดสร้างสรรค์สู่นวัตกรรม
12: นวัตกรและผลงานนวัตกรรม
13: ทรัพย์สินทางปัญญา: วิธีปกป้องความคิดสร้างสรรค์
14: เศรษฐกิจสร้างสรรค์
15: สรุป",
279,จิตวิทยาพัฒนาการวัยสูงอายุ | Developmental Psychology in Elderly,มหาวิทยาลัยวลัยลักษณ์,['สุขภาพและการแพทย์'],การเปลี่ยนแปลงตามธรรมชาติของบุคคลวัยสูงอายุ ด้านร่างกาย ด้านสังคม ด้านจิตใจและอารมณ์ ความต้องการของบุคคลวัยสูงอายุ ปัญหาหรือภาวะวิกฤติที่พบได้บ่อย แนวทางแก้ไขปัญหาหรือภาวะวิกฤติ แนวทางการสร้างเสริมสุขภาวะของบุคคลวัยสูงอายุ การเรียนรู้อยู่ร่วมกันกับบุคคลวัยสูงอายุ,
